Time(us)	Angle(deg)	Duty
200	36	65
400	20	65
600	14	65
800	20	65
1000	4	65
1200	10	65
1400	0	65
1600	1	65
1800	0	65
2000	0	65
2200	0	65
2400	0	65
2600	0	65
2800	0	65
3000	0	65
3200	0	65
3400	0	65
3600	0	65
3800	0	65
4000	0	65
4200	0	65
4400	0	65
4600	0	65
4800	0	65
5000	0	65
5200	0	65
5400	0	65
5600	0	65
5800	0	65
6000	0	65
6200	0	65
6400	0	65
6600	0	65
6800	0	65
7000	0	65
7200	0	65
7400	0	65
7600	0	65
7800	0	65
8000	0	65
8200	0	65
8400	0	65
8600	0	65
8800	0	65
9000	0	65
9200	0	65
9400	0	65
9600	0	65
9800	0	65
10000	0	65
10200	0	65
10400	0	65
10600	0	65
10800	0	65
11000	0	65
11200	0	65
11400	0	65
11600	0	65
11800	0	65
12000	0	65
12200	0	65
12400	0	65
12600	0	65
12800	0	65
13000	0	65
13200	0	65
13400	0	65
13600	0	65
13800	0	65
14000	0	65
14200	0	65
14400	0	65
14600	0	65
14800	0	65
15000	0	65
15200	0	65
15400	0	65
15600	0	65
15800	0	65
16000	0	65
16200	0	65
16400	0	65
16600	0	65
16800	0	65
17000	0	65
17200	0	65
17400	0	65
17600	0	65
17800	0	65
18000	0	65
18200	0	65
18400	0	65
18600	0	65
18800	0	65
19000	0	65
19200	0	65
19400	0	65
19600	0	65
19800	0	65
20000	0	65
20200	0	65
20400	0	65
20600	0	65
20800	0	65
21000	0	65
21200	0	65
21400	0	65
21600	0	65
21800	0	65
22000	0	65
22200	0	65
22400	0	65
22600	0	65
22800	0	65
23000	0	65
23200	0	65
23400	0	65
23600	0	65
23800	0	65
24000	0	65
24200	0	65
24400	0	65
24600	0	65
24800	0	65
25000	0	65
25200	0	65
25400	0	65
25600	0	65
25800	0	65
26000	0	65
26200	0	65
26400	0	65
26600	0	65
26800	0	65
27000	0	65
27200	0	65
27400	0	65
27600	0	65
27800	0	65
28000	0	65
28200	0	65
28400	0	65
28600	0	65
28800	0	65
29000	0	65
29200	0	65
29400	0	65
29600	0	65
29800	0	65
30000	0	65
30200	0	65
30400	0	65
30600	0	65
30800	0	65
31000	0	65
31200	0	65
31400	0	65
31600	0	65
31800	0	65
32000	0	65
32200	0	65
32400	0	65
32600	0	65
32800	0	65
33000	0	65
33200	0	65
33400	0	65
33600	0	65
33800	0	65
34000	0	65
34200	0	65
34400	0	65
34600	0	65
34800	0	65
35000	0	65
35200	0	65
35400	0	65
35600	0	65
35800	0	65
36000	0	65
36200	0	65
36400	0	65
36600	0	65
36800	0	65
37000	0	65
37200	0	65
37400	0	65
37600	0	65
37800	0	65
38000	0	65
38200	0	65
38400	0	65
38600	0	65
38800	0	65
39000	0	65
39200	0	65
39400	0	65
39600	0	65
39800	0	65
40000	0	65
40200	0	65
40400	0	65
40600	0	65
40800	0	65
41000	0	65
41200	0	65
41400	0	65
41600	0	65
41800	0	65
42000	0	65
42200	0	65
42400	0	65
42600	0	65
42800	0	65
43000	0	65
43200	0	65
43400	0	65
43600	0	65
43800	0	65
44000	0	65
44200	0	65
44400	0	65
44600	0	65
44800	0	65
45000	0	65
45200	0	65
45400	0	65
45600	0	65
45800	0	65
46000	0	65
46200	0	65
46400	0	65
46600	0	65
46800	0	65
47000	0	65
47200	0	65
47400	0	65
47600	0	65
47800	0	65
48000	0	65
48200	0	65
48400	0	65
48600	0	65
48800	0	65
49000	0	65
49200	0	65
49400	0	65
49600	0	65
49800	0	65
50000	0	65
50200	0	65
50400	0	65
50600	0	65
50800	0	65
51000	0	65
51200	0	65
51400	0	65
51600	0	65
51800	0	65
52000	0	65
52200	0	65
52400	0	65
52600	0	65
52800	0	65
53000	0	65
53200	0	65
53400	0	65
53600	0	65
53800	0	65
54000	0	65
54200	0	65
54400	0	65
54600	0	65
54800	0	65
55000	0	65
55200	0	65
55400	0	65
55600	0	65
55800	0	65
56000	0	65
56200	0	65
56400	0	65
56600	0	65
56800	0	65
57000	0	65
57200	0	65
57400	0	65
57600	0	65
57800	0	65
58000	0	65
58200	0	65
58400	0	65
58600	0	65
58800	0	65
59000	0	65
59200	0	65
59400	0	65
59600	0	65
59800	0	65
60000	0	65
60200	0	65
60400	0	65
60600	0	65
60800	0	65
61000	0	65
61200	0	65
61400	0	65
61600	0	65
61800	0	65
62000	0	65
62200	0	65
62400	0	65
62600	0	65
62800	0	65
63000	0	65
63200	0	65
63400	0	65
63600	0	65
63800	0	65
64000	0	65
64200	0	65
64400	0	65
64600	0	65
64800	0	65
65000	0	65
65200	0	65
65400	0	65
65600	0	65
65800	0	65
66000	0	65
66200	0	65
66400	0	65
66600	0	65
66800	0	65
67000	0	65
67200	0	65
67400	0	65
67600	0	65
67800	0	65
68000	0	65
68200	0	65
68400	0	65
68600	0	65
68800	0	65
69000	0	65
69200	0	65
69400	0	65
69600	0	65
69800	0	65
70000	0	65
70200	0	65
70400	0	65
70600	0	65
70800	0	65
71000	0	65
71200	0	65
71400	0	65
71600	0	65
71800	0	65
72000	0	65
72200	0	65
72400	0	65
72600	0	65
72800	0	65
73000	0	65
73200	0	65
73400	0	65
73600	0	65
73800	0	65
74000	0	65
74200	0	65
74400	0	65
74600	0	65
74800	0	65
75000	0	65
75200	0	65
75400	0	65
75600	0	65
75800	0	65
76000	0	65
76200	0	65
76400	0	65
76600	0	65
76800	0	65
77000	0	65
77200	0	65
77400	0	65
77600	0	65
77800	0	65
78000	0	65
78200	0	65
78400	0	65
78600	0	65
78800	0	65
79000	0	65
79200	0	65
79400	0	65
79600	0	65
79800	0	65
80000	0	65
80200	0	65
80400	0	65
80600	0	65
80800	0	65
81000	0	65
81200	0	65
81400	0	65
81600	0	65
81800	0	65
82000	0	65
82200	0	65
82400	0	65
82600	0	65
82800	0	65
83000	0	65
83200	0	65
83400	0	65
83600	0	65
83800	0	65
84000	0	65
84200	0	65
84400	0	65
84600	0	65
84800	0	65
85000	0	65
85200	0	65
85400	0	65
85600	0	65
85800	0	65
86000	0	65
86200	0	65
86400	0	65
86600	0	65
86800	0	65
87000	0	65
87200	0	65
87400	0	65
87600	0	65
87800	0	65
88000	0	65
88200	0	65
88400	0	65
88600	0	65
88800	0	65
89000	0	65
89200	0	65
89400	0	65
89600	0	65
89800	0	65
90000	0	65
90200	0	65
90400	0	65
90600	0	65
90800	0	65
91000	0	65
91200	0	65
91400	0	65
91600	0	65
91800	0	65
92000	0	65
92200	0	65
92400	0	65
92600	0	65
92800	0	65
93000	0	65
93200	0	65
93400	0	65
93600	0	65
93800	0	65
94000	0	65
94200	0	65
94400	0	65
94600	0	65
94800	0	65
95000	0	65
95200	0	65
95400	0	65
95600	0	65
95800	0	65
96000	0	65
96200	0	65
96400	0	65
96600	0	65
96800	0	65
97000	0	65
97200	0	65
97400	0	65
97600	0	65
97800	0	65
98000	0	65
98200	0	65
98400	0	65
98600	0	65
98800	0	65
99000	0	65
99200	0	65
99400	0	65
99600	0	65
99800	0	65
100000	0	65
100200	0	65
100400	0	65
100600	0	65
100800	0	65
101000	0	65
101200	0	65
101400	0	65
101600	0	65
101800	0	65
102000	0	65
102200	0	65
102400	0	65
102600	0	65
102800	0	65
103000	0	65
103200	0	65
103400	0	65
103600	0	65
103800	0	65
104000	0	65
104200	0	65
104400	0	65
104600	0	65
104800	0	65
105000	0	65
105200	0	65
105400	0	65
105600	0	65
105800	0	65
106000	0	65
106200	0	65
106400	0	65
106600	0	65
106800	0	65
107000	0	65
107200	0	65
107400	0	65
107600	0	65
107800	0	65
108000	0	65
108200	0	65
108400	0	65
108600	0	65
108800	0	65
109000	0	65
109200	0	65
109400	0	65
109600	0	65
109800	0	65
110000	0	65
110200	0	65
110400	0	65
110600	0	65
110800	0	65
111000	0	65
111200	0	65
111400	0	65
111600	0	65
111800	0	65
112000	0	65
112200	0	65
112400	0	65
112600	0	65
112800	0	65
113000	0	65
113200	0	65
113400	0	65
113600	0	65
113800	0	65
114000	0	65
114200	0	65
114400	0	65
114600	0	65
114800	0	65
115000	0	65
115200	0	65
115400	0	65
115600	0	65
115800	0	65
116000	0	65
116200	0	65
116400	0	65
116600	0	65
116800	0	65
117000	0	65
117200	0	65
117400	0	65
117600	0	65
117800	0	65
118000	0	65
118200	0	65
118400	0	65
118600	0	65
118800	0	65
119000	0	65
119200	0	65
119400	0	65
119600	0	65
119800	0	65
120000	0	65
120200	0	65
120400	0	65
120600	0	65
120800	0	65
121000	0	65
121200	0	65
121400	0	65
121600	0	65
121800	0	65
122000	0	65
122200	0	65
122400	0	65
122600	0	65
122800	0	65
123000	0	65
123200	0	65
123400	0	65
123600	0	65
123800	0	65
124000	0	65
124200	0	65
124400	0	65
124600	0	65
124800	0	65
125000	0	65
125200	0	65
125400	0	65
125600	0	65
125800	0	65
126000	0	65
126200	0	65
126400	0	65
126600	0	65
126800	0	65
127000	0	65
127200	0	65
127400	0	65
127600	0	65
127800	0	65
128000	0	65
128200	0	65
128400	0	65
128600	0	65
128800	0	65
129000	0	65
129200	0	65
129400	0	65
129600	0	65
129800	0	65
130000	0	65
130200	0	65
130400	0	65
130600	0	65
130800	0	65
131000	0	65
131200	0	65
131400	0	65
131600	0	65
131800	0	65
132000	0	65
132200	0	65
132400	0	65
132600	0	65
132800	0	65
133000	0	65
133200	0	65
133400	0	65
133600	0	65
133800	0	65
134000	0	65
134200	0	65
134400	0	65
134600	0	65
134800	0	65
135000	0	65
135200	0	65
135400	0	65
135600	0	65
135800	0	65
136000	0	65
136200	0	65
136400	0	65
136600	0	65
136800	0	65
137000	0	65
137200	0	65
137400	0	65
137600	0	65
137800	0	65
138000	0	65
138200	0	65
138400	0	65
138600	0	65
138800	0	65
139000	0	65
139200	0	65
139400	0	65
139600	0	65
139800	0	65
140000	0	65
140200	0	65
140400	0	65
140600	0	65
140800	0	65
141000	0	65
141200	0	65
141400	0	65
141600	0	65
141800	0	65
142000	0	65
142200	0	65
142400	0	65
142600	0	65
142800	0	65
143000	0	65
143200	0	65
143400	0	65
143600	0	65
143800	0	65
144000	0	65
144200	0	65
144400	0	65
144600	0	65
144800	0	65
145000	0	65
145200	0	65
145400	0	65
145600	0	65
145800	0	65
146000	0	65
146200	0	65
146400	0	65
146600	0	65
146800	0	65
147000	0	65
147200	0	65
147400	0	65
147600	0	65
147800	0	65
148000	0	65
148200	0	65
148400	0	65
148600	0	65
148800	0	65
149000	0	65
149200	0	65
149400	0	65
149600	0	65
149800	0	65
150000	0	65
150200	0	65
150400	0	65
150600	0	65
150800	0	65
151000	0	65
151200	0	65
151400	0	65
151600	0	65
151800	0	65
152000	0	65
152200	0	65
152400	0	65
152600	0	65
152800	0	65
153000	0	65
153200	0	65
153400	0	65
153600	0	65
153800	0	65
154000	0	65
154200	0	65
154400	0	65
154600	0	65
154800	0	65
155000	0	65
155200	0	65
155400	0	65
155600	0	65
155800	0	65
156000	0	65
156200	0	65
156400	0	65
156600	0	65
156800	0	65
157000	0	65
157200	0	65
157400	0	65
157600	0	65
157800	0	65
158000	0	65
158200	0	65
158400	0	65
158600	0	65
158800	0	65
159000	0	65
159200	0	65
159400	0	65
159600	0	65
159800	0	65
160000	0	65
160200	0	65
160400	0	65
160600	0	65
160800	0	65
161000	0	65
161200	0	65
161400	0	65
161600	0	65
161800	0	65
162000	0	65
162200	0	65
162400	0	65
162600	0	65
162800	0	65
163000	0	65
163200	0	65
163400	0	65
163600	0	65
163800	0	65
164000	0	65
164200	0	65
164400	0	65
164600	0	65
164800	0	65
165000	0	65
165200	0	65
165400	0	65
165600	0	65
165800	0	65
166000	0	65
166200	0	65
166400	0	65
166600	0	65
166800	0	65
167000	0	65
167200	0	65
167400	0	65
167600	0	65
167800	0	65
168000	0	65
168200	0	65
168400	0	65
168600	0	65
168800	0	65
169000	0	65
169200	0	65
169400	0	65
169600	0	65
169800	0	65
170000	0	65
170200	0	65
170400	0	65
170600	0	65
170800	0	65
171000	0	65
171200	0	65
171400	0	65
171600	0	65
171800	0	65
172000	0	65
172200	0	65
172400	0	65
172600	0	65
172800	0	65
173000	0	65
173200	0	65
173400	0	65
173600	0	65
173800	0	65
174000	0	65
174200	0	65
174400	0	65
